design,criteria,material,rating
kitchen,lightweight,Elastomer,3
kitchen,lightweight,Elastomer,3
kitchen,lightweight,Elastomer,10
kitchen,lightweight,Thermoset,0
kitchen,lightweight,Thermoset,7
kitchen,lightweight,Thermoset,9
kitchen,lightweight,Thermoset,4
kitchen,lightweight,Thermoset,10
kitchen,lightweight,Thermoset,6
kitchen,lightweight,Thermoset,6
kitchen,lightweight,Thermoset,7
kitchen,lightweight,Thermoset,0
kitchen,lightweight,Thermoset,7
kitchen,lightweight,Thermoset,6
kitchen,lightweight,Thermoset,9
kitchen,lightweight,Thermoset,5
kitchen,lightweight,Thermoset,1
kitchen,lightweight,Thermoset,9
kitchen,lightweight,Thermoset,6
kitchen,lightweight,Thermoset,6
kitchen,lightweight,Thermoset,10
kitchen,lightweight,Thermoset,9
kitchen,lightweight,Thermoset,5
kitchen,lightweight,Thermoset,1
kitchen,lightweight,Thermoset,8
kitchen,lightweight,Thermoset,3
kitchen,lightweight,Thermoset,7
kitchen,lightweight,Thermoset,5
kitchen,lightweight,Thermoset,10
kitchen,lightweight,Thermoset,8
kitchen,lightweight,Thermoset,9
kitchen,lightweight,Thermoset,6
kitchen,lightweight,Thermoset,8
kitchen,lightweight,Thermoset,6
kitchen,lightweight,Thermoset,7
kitchen,lightweight,Thermoset,7
kitchen,lightweight,Thermoset,5
kitchen,lightweight,Thermoset,6
kitchen,lightweight,Thermoset,6
kitchen,lightweight,Thermoset,2
kitchen,lightweight,Thermoset,4
kitchen,lightweight,Thermoset,3
kitchen,lightweight,Thermoset,8
kitchen,lightweight,Thermoset,1
kitchen,lightweight,Thermoset,5
kitchen,lightweight,Thermoset,0
kitchen,lightweight,Thermoset,6
kitchen,lightweight,Thermoset,10
kitchen,lightweight,Thermoset,5
kitchen,lightweight,Thermoset,5
kitchen,lightweight,Thermoset,7
kitchen,lightweight,Thermoset,6
kitchen,lightweight,Thermoset,3
kitchen,lightweight,Thermoset,8
kitchen,lightweight,Thermoset,3
kitchen,lightweight,Thermoset,4
kitchen,lightweight,Thermoset,10
kitchen,lightweight,Thermoset,8
kitchen,lightweight,Thermoset,10
kitchen,lightweight,Thermoset,7
kitchen,lightweight,Thermoset,4
kitchen,lightweight,Thermoset,0
kitchen,lightweight,Thermoset,7
kitchen,lightweight,Thermoset,7
kitchen,lightweight,Thermoset,8
kitchen,lightweight,Thermoset,2
kitchen,lightweight,Thermoset,5
kitchen,lightweight,Thermoset,2
kitchen,lightweight,Thermoset,8
kitchen,lightweight,Thermoset,6
kitchen,lightweight,Composite,0
kitchen,lightweight,Composite,8
kitchen,lightweight,Composite,9
kitchen,lightweight,Composite,9
kitchen,lightweight,Composite,3
kitchen,lightweight,Composite,7
kitchen,lightweight,Composite,7
kitchen,lightweight,Composite,8
kitchen,lightweight,Composite,8
kitchen,lightweight,Composite,6
kitchen,lightweight,Composite,10
kitchen,lightweight,Composite,5
kitchen,lightweight,Composite,7
kitchen,lightweight,Composite,10
kitchen,lightweight,Composite,10
kitchen,lightweight,Composite,7
kitchen,lightweight,Composite,10
kitchen,lightweight,Composite,8
kitchen,lightweight,Composite,8
kitchen,lightweight,Composite,10
kitchen,lightweight,Composite,1
kitchen,lightweight,Composite,1
kitchen,lightweight,Composite,4
kitchen,lightweight,Composite,10
kitchen,lightweight,Composite,0
kitchen,lightweight,Composite,10
kitchen,lightweight,Composite,9
kitchen,lightweight,Composite,2
kitchen,lightweight,Composite,8
kitchen,lightweight,Composite,8
kitchen,lightweight,Composite,6
kitchen,lightweight,Composite,5
kitchen,lightweight,Composite,8
kitchen,lightweight,Composite,7
kitchen,lightweight,Composite,8
kitchen,lightweight,Composite,8
kitchen,lightweight,Composite,10
kitchen,lightweight,Composite,5
kitchen,lightweight,Composite,8
kitchen,lightweight,Composite,7
kitchen,lightweight,Composite,3
kitchen,lightweight,Composite,2
kitchen,lightweight,Composite,10
kitchen,lightweight,Composite,9
kitchen,lightweight,Composite,10
kitchen,lightweight,Composite,7
kitchen,lightweight,Composite,8
kitchen,lightweight,Composite,7
kitchen,lightweight,Composite,7
kitchen,lightweight,Composite,3
kitchen,lightweight,Composite,10
kitchen,lightweight,Composite,7
kitchen,lightweight,Composite,5
kitchen,lightweight,Composite,3
kitchen,lightweight,Composite,9
kitchen,lightweight,Composite,6
kitchen,lightweight,Composite,7
kitchen,lightweight,Composite,4
kitchen,lightweight,Composite,10
kitchen,lightweight,Composite,9
kitchen,lightweight,Composite,10
kitchen,lightweight,Composite,10
kitchen,lightweight,Composite,10
kitchen,lightweight,Composite,10
kitchen,lightweight,Composite,6
kitchen,lightweight,Composite,10
kitchen,lightweight,Composite,0
kitchen,resistant to heat,Steel,0
kitchen,resistant to heat,Steel,5
kitchen,resistant to heat,Steel,9
kitchen,resistant to heat,Steel,8
kitchen,resistant to heat,Steel,9
kitchen,resistant to heat,Steel,4
kitchen,resistant to heat,Steel,3
kitchen,resistant to heat,Steel,10
kitchen,resistant to heat,Steel,3
kitchen,resistant to heat,Steel,0
kitchen,resistant to heat,Steel,2
kitchen,resistant to heat,Steel,2
kitchen,resistant to heat,Steel,4
kitchen,resistant to heat,Steel,3
kitchen,resistant to heat,Steel,7
kitchen,resistant to heat,Steel,6
kitchen,resistant to heat,Steel,10
kitchen,resistant to heat,Steel,1
kitchen,resistant to heat,Steel,9
kitchen,resistant to heat,Steel,10
kitchen,resistant to heat,Steel,9
kitchen,resistant to heat,Steel,5
kitchen,resistant to heat,Steel,0
kitchen,resistant to heat,Steel,1
kitchen,resistant to heat,Steel,0
kitchen,resistant to heat,Steel,9
kitchen,resistant to heat,Steel,3
kitchen,resistant to heat,Steel,1
kitchen,resistant to heat,Steel,9
kitchen,resistant to heat,Steel,4
kitchen,resistant to heat,Steel,2
kitchen,resistant to heat,Steel,5
kitchen,resistant to heat,Steel,0
kitchen,resistant to heat,Steel,1
kitchen,resistant to heat,Steel,7
kitchen,resistant to heat,Steel,7
kitchen,resistant to heat,Steel,3
kitchen,resistant to heat,Steel,7
kitchen,resistant to heat,Steel,2
kitchen,resistant to heat,Steel,0
kitchen,resistant to heat,Steel,4
kitchen,resistant to heat,Steel,1
kitchen,resistant to heat,Steel,3
kitchen,resistant to heat,Steel,0
kitchen,resistant to heat,Steel,0
kitchen,resistant to heat,Steel,5
kitchen,resistant to heat,Steel,5
kitchen,resistant to heat,Steel,10
kitchen,resistant to heat,Steel,0
kitchen,resistant to heat,Steel,7
kitchen,resistant to heat,Steel,8
kitchen,resistant to heat,Steel,5
kitchen,resistant to heat,Steel,10
kitchen,resistant to heat,Steel,0
kitchen,resistant to heat,Steel,0
kitchen,resistant to heat,Steel,8
kitchen,resistant to heat,Steel,5
kitchen,resistant to heat,Steel,6
kitchen,resistant to heat,Steel,7
kitchen,resistant to heat,Steel,0
kitchen,resistant to heat,Steel,1
kitchen,resistant to heat,Steel,3
kitchen,resistant to heat,Steel,3
kitchen,resistant to heat,Steel,10
kitchen,resistant to heat,Steel,3
kitchen,resistant to heat,Steel,9
kitchen,resistant to heat,Steel,5
kitchen,resistant to heat,Aluminium,0
kitchen,resistant to heat,Aluminium,8
kitchen,resistant to heat,Aluminium,6
kitchen,resistant to heat,Aluminium,8
kitchen,resistant to heat,Aluminium,8
kitchen,resistant to heat,Aluminium,7
kitchen,resistant to heat,Aluminium,5
kitchen,resistant to heat,Aluminium,10
kitchen,resistant to heat,Aluminium,7
kitchen,resistant to heat,Aluminium,0
kitchen,resistant to heat,Aluminium,4
kitchen,resistant to heat,Aluminium,2
kitchen,resistant to heat,Aluminium,4
kitchen,resistant to heat,Aluminium,2
kitchen,resistant to heat,Aluminium,4
kitchen,resistant to heat,Aluminium,9
kitchen,resistant to heat,Aluminium,10
kitchen,resistant to heat,Aluminium,1
kitchen,resistant to heat,Aluminium,8
kitchen,resistant to heat,Aluminium,9
kitchen,resistant to heat,Aluminium,2
kitchen,resistant to heat,Aluminium,7
kitchen,resistant to heat,Aluminium,7
kitchen,resistant to heat,Aluminium,2
kitchen,resistant to heat,Aluminium,0
kitchen,resistant to heat,Aluminium,9
kitchen,resistant to heat,Aluminium,3
kitchen,resistant to heat,Aluminium,1
kitchen,resistant to heat,Aluminium,6
kitchen,resistant to heat,Aluminium,3
kitchen,resistant to heat,Aluminium,2
kitchen,resistant to heat,Aluminium,10
kitchen,resistant to heat,Aluminium,0
kitchen,resistant to heat,Aluminium,1
kitchen,resistant to heat,Aluminium,5
kitchen,resistant to heat,Aluminium,6
kitchen,resistant to heat,Aluminium,0
kitchen,resistant to heat,Aluminium,5
kitchen,resistant to heat,Aluminium,3
kitchen,resistant to heat,Aluminium,10
kitchen,resistant to heat,Aluminium,3
kitchen,resistant to heat,Aluminium,1
kitchen,resistant to heat,Aluminium,2
kitchen,resistant to heat,Aluminium,0
kitchen,resistant to heat,Aluminium,0
kitchen,resistant to heat,Aluminium,4
kitchen,resistant to heat,Aluminium,5
kitchen,resistant to heat,Aluminium,9
kitchen,resistant to heat,Aluminium,0
kitchen,resistant to heat,Aluminium,5
kitchen,resistant to heat,Aluminium,8
kitchen,resistant to heat,Aluminium,5
kitchen,resistant to heat,Aluminium,9
kitchen,resistant to heat,Aluminium,0
kitchen,resistant to heat,Aluminium,0
kitchen,resistant to heat,Aluminium,7
kitchen,resistant to heat,Aluminium,8
kitchen,resistant to heat,Aluminium,6
kitchen,resistant to heat,Aluminium,7
kitchen,resistant to heat,Aluminium,0
kitchen,resistant to heat,Aluminium,10
kitchen,resistant to heat,Aluminium,10
kitchen,resistant to heat,Aluminium,3
kitchen,resistant to heat,Aluminium,8
kitchen,resistant to heat,Aluminium,7
kitchen,resistant to heat,Aluminium,7
kitchen,resistant to heat,Aluminium,5
kitchen,resistant to heat,Titanium,0
kitchen,resistant to heat,Titanium,5
kitchen,resistant to heat,Titanium,8
kitchen,resistant to heat,Titanium,8
kitchen,resistant to heat,Titanium,6
kitchen,resistant to heat,Titanium,7
kitchen,resistant to heat,Titanium,3
kitchen,resistant to heat,Titanium,10
kitchen,resistant to heat,Titanium,2
kitchen,resistant to heat,Titanium,0
kitchen,resistant to heat,Titanium,2
kitchen,resistant to heat,Titanium,2
kitchen,resistant to heat,Titanium,4
kitchen,resistant to heat,Titanium,5
kitchen,resistant to heat,Titanium,10
kitchen,resistant to heat,Titanium,9
kitchen,resistant to heat,Titanium,10
kitchen,resistant to heat,Titanium,1
kitchen,resistant to heat,Titanium,9
kitchen,resistant to heat,Titanium,10
kitchen,resistant to heat,Titanium,1
kitchen,resistant to heat,Titanium,6
kitchen,resistant to heat,Titanium,2
kitchen,resistant to heat,Titanium,2
kitchen,resistant to heat,Titanium,0
kitchen,resistant to heat,Titanium,10
kitchen,resistant to heat,Titanium,4
kitchen,resistant to heat,Titanium,1
kitchen,resistant to heat,Titanium,5
kitchen,resistant to heat,Titanium,9
kitchen,resistant to heat,Titanium,2
kitchen,resistant to heat,Titanium,7
kitchen,resistant to heat,Titanium,2
kitchen,resistant to heat,Titanium,1
kitchen,resistant to heat,Titanium,9
kitchen,resistant to heat,Titanium,8
kitchen,resistant to heat,Titanium,6
kitchen,resistant to heat,Titanium,7
kitchen,resistant to heat,Titanium,5
kitchen,resistant to heat,Titanium,0
kitchen,resistant to heat,Titanium,9
kitchen,resistant to heat,Titanium,3
kitchen,resistant to heat,Titanium,1
kitchen,resistant to heat,Titanium,0
kitchen,resistant to heat,Titanium,0
kitchen,resistant to heat,Titanium,4
kitchen,resistant to heat,Titanium,5
kitchen,resistant to heat,Titanium,10
kitchen,resistant to heat,Titanium,0
kitchen,resistant to heat,Titanium,5
kitchen,resistant to heat,Titanium,6
kitchen,resistant to heat,Titanium,5
kitchen,resistant to heat,Titanium,9
kitchen,resistant to heat,Titanium,1
kitchen,resistant to heat,Titanium,0
