model,experiment,design,criteria,material,mean_error
GPT-4,zero-shot,underwater component,heat resistant,titanium,0.7368421052631579
GPT-4,zero-shot,underwater component,heat resistant,glass,4.105263157894737
GPT-4,zero-shot,underwater component,heat resistant,wood,0.02631578947368421
GPT-4,zero-shot,underwater component,heat resistant,thermoplastic,0.75
GPT-4,zero-shot,underwater component,heat resistant,elastomer,0.5131578947368421
GPT-4,zero-shot,underwater component,heat resistant,thermoset,2.8421052631578947
GPT-4,zero-shot,underwater component,heat resistant,composite,0.6973684210526315
GPT-4,zero-shot,underwater component,corrosion resistant,steel,-2.2435897435897436
GPT-4,zero-shot,underwater component,corrosion resistant,aluminium,1.5256410256410255
GPT-4,zero-shot,underwater component,corrosion resistant,titanium,1.0128205128205128
GPT-4,zero-shot,underwater component,corrosion resistant,glass,5.038461538461538
GPT-4,zero-shot,underwater component,corrosion resistant,wood,2.3205128205128207
GPT-4,zero-shot,underwater component,corrosion resistant,thermoplastic,5.371794871794871
GPT-4,zero-shot,underwater component,corrosion resistant,elastomer,4.705128205128205
GPT-4,zero-shot,underwater component,corrosion resistant,thermoset,3.9743589743589745
GPT-4,zero-shot,underwater component,corrosion resistant,composite,2.871794871794872
GPT-4,zero-shot,underwater component,high strength,steel,3.1971830985915495
GPT-4,zero-shot,underwater component,high strength,aluminium,-1.1267605633802817
GPT-4,zero-shot,underwater component,high strength,titanium,0.971830985915493
GPT-4,zero-shot,underwater component,high strength,glass,-0.4507042253521127
GPT-4,zero-shot,underwater component,high strength,wood,-0.39436619718309857
GPT-4,zero-shot,underwater component,high strength,thermoplastic,1.7464788732394365
GPT-4,zero-shot,underwater component,high strength,elastomer,0.7887323943661971
GPT-4,zero-shot,underwater component,high strength,thermoset,2.0140845070422535
GPT-4,zero-shot,underwater component,high strength,composite,1.1830985915492958
GPT-4,zero-shot,safety helmet,lightweight,steel,-4.583333333333333
GPT-4,zero-shot,safety helmet,lightweight,aluminium,1.1666666666666667
GPT-4,zero-shot,safety helmet,lightweight,titanium,-1.3055555555555556
GPT-4,zero-shot,safety helmet,lightweight,glass,-0.3611111111111111
GPT-4,zero-shot,safety helmet,lightweight,wood,0.3888888888888889
GPT-4,zero-shot,safety helmet,lightweight,thermoplastic,4.958333333333333
GPT-4,zero-shot,safety helmet,lightweight,elastomer,2.9305555555555554
GPT-4,zero-shot,safety helmet,lightweight,thermoset,3.3055555555555554
GPT-4,zero-shot,safety helmet,lightweight,composite,2.375
GPT-4,zero-shot,safety helmet,heat resistant,steel,-0.08450704225352113
GPT-4,zero-shot,safety helmet,heat resistant,aluminium,-0.9436619718309859
GPT-4,zero-shot,safety helmet,heat resistant,titanium,1.9295774647887325
GPT-4,zero-shot,safety helmet,heat resistant,glass,0.9436619718309859
GPT-4,zero-shot,safety helmet,heat resistant,wood,-0.5915492957746479
GPT-4,zero-shot,safety helmet,heat resistant,thermoplastic,-1.1408450704225352
GPT-4,zero-shot,safety helmet,heat resistant,elastomer,-2.3943661971830985
GPT-4,zero-shot,safety helmet,heat resistant,thermoset,3.3098591549295775
GPT-4,zero-shot,safety helmet,heat resistant,composite,-0.36619718309859156
GPT-4,zero-shot,safety helmet,corrosion resistant,steel,1.0277777777777777
GPT-4,zero-shot,safety helmet,corrosion resistant,aluminium,3.5833333333333335
GPT-4,zero-shot,safety helmet,corrosion resistant,titanium,3.138888888888889
GPT-4,zero-shot,safety helmet,corrosion resistant,glass,-0.7638888888888888
GPT-4,zero-shot,safety helmet,corrosion resistant,wood,-0.9444444444444444
GPT-4,zero-shot,safety helmet,corrosion resistant,thermoplastic,3.638888888888889
GPT-4,zero-shot,safety helmet,corrosion resistant,elastomer,1.2777777777777777
GPT-4,zero-shot,safety helmet,corrosion resistant,thermoset,2.9583333333333335
GPT-4,zero-shot,safety helmet,corrosion resistant,composite,1.9305555555555556
GPT-4,zero-shot,safety helmet,high strength,steel,1.7183098591549295
GPT-4,zero-shot,safety helmet,high strength,aluminium,-0.7887323943661971
GPT-4,zero-shot,safety helmet,high strength,titanium,1.6338028169014085
GPT-4,zero-shot,safety helmet,high strength,glass,-1.3380281690140845
GPT-4,zero-shot,safety helmet,high strength,wood,-1.1830985915492958
GPT-4,zero-shot,safety helmet,high strength,thermoplastic,1.2253521126760563
GPT-4,zero-shot,safety helmet,high strength,elastomer,-3.267605633802817
GPT-4,zero-shot,safety helmet,high strength,thermoset,1.9577464788732395
GPT-4,zero-shot,safety helmet,high strength,composite,0.7887323943661971
